Track	fold	level	hits	totals
SRR2057587.bam	1	1	25557	311381
SRR2057587.bam	1	2	23609	266643
SRR2057587.bam	2	1	7908	311381
SRR2057587.bam	2	2	7623	266643
SRR2057586.bam	1	1	14131	103433
SRR2057586.bam	1	2	12786	89611
SRR2057586.bam	2	1	7908	103433
SRR2057586.bam	2	2	7452	89611
SRR2057588.bam	1	1	24852	318707
SRR2057588.bam	1	2	22818	274870
SRR2057588.bam	2	1	7908	318707
SRR2057588.bam	2	2	7553	274870
