Track	fold	level	hits	totals
SRR2057596_dedup.bam	1	1	6356	69799
SRR2057596_dedup.bam	1	2	4337	9439
SRR2057596_dedup.bam	2	1	1986	69799
SRR2057596_dedup.bam	2	2	1732	9439
SRR2057595_dedup.bam	1	1	5039	16368
SRR2057595_dedup.bam	1	2	2246	2663
SRR2057595_dedup.bam	2	1	1986	16368
SRR2057595_dedup.bam	2	2	1306	2663
SRR2057597_dedup.bam	1	1	3827	13200
SRR2057597_dedup.bam	1	2	1767	1878
SRR2057597_dedup.bam	2	1	1986	13200
SRR2057597_dedup.bam	2	2	1224	1878
