Tool,File,Peak memory used,Runtime,Grouping Method,Singletons,Dataset,Completed?,Input reads (total),Input reads (mapped),Ouput reads (total),Output reads (mapped),Iteration
UMICollapse_0,SRR2057565.bam,8.023117065429688,60.05945682525635,,Singletons,iclip,Completed,54224960,37282481,1736316,1736316,0
UMICollapse_0,SRR2057571.bam,8.970108032226562,56.927955865859985,,Singletons,iclip,Completed,53324083,38959442,1730167,1730167,0
UMICollapse_0,SRR2057570.bam,3.4217376708984375,33.37899422645569,,Singletons,iclip,Completed,40405667,28847003,248349,248349,0
UMICollapse_0,SRR2057564.bam,15.810989379882812,58.87648892402649,,Singletons,iclip,Completed,34489769,22727389,3960913,3960913,0
UMICollapse_0,SRR2057574.bam,26.388641357421875,104.1812858581543,,Singletons,iclip,Completed,34025199,25909660,10320093,10320093,0
UMICollapse_0,SRR2057575.bam,29.29119873046875,111.68583416938782,,Singletons,iclip,Completed,44442666,35308346,9919599,9919599,0
UMICollapse_0,SRR2057577.bam,20.885238647460938,82.27892994880676,,Singletons,iclip,Completed,43973441,28871002,6248150,6248150,0
UMICollapse_0,SRR2057588.bam,5.3290863037109375,36.763745069503784,,Singletons,iclip,Completed,43441898,32658152,438292,438292,0
UMICollapse_0,SRR2057589.bam,29.61944580078125,115.46818113327026,,Singletons,iclip,Completed,42863448,32826007,14622457,14622457,0
UMICollapse_0,SRR2057576.bam,6.0811309814453125,41.00650906562805,,Singletons,iclip,Completed,40150715,25982822,848650,848650,0
UMICollapse_0,SRR2057590.bam,2.15283203125,25.724942207336426,,Singletons,iclip,Completed,29013856,21033934,175543,175543,0
UMICollapse_0,SRR2057584.bam,19.988006591796875,74.73556399345398,,Singletons,iclip,Completed,42826826,31966575,5430607,5430607,0
UMICollapse_0,SRR2057585.bam,24.004501342773438,102.38550400733948,,Singletons,iclip,Completed,40639954,29655146,9010288,9010288,0
UMICollapse_0,SRR2057591.bam,19.0753173828125,65.5768609046936,,Singletons,iclip,Completed,32199796,24087600,5130981,5130981,0
UMICollapse_0,SRR2057578.bam,7.578399658203125,45.968392848968506,,Singletons,iclip,Completed,40335876,27320610,1530110,1530110,0
UMICollapse_0,SRR2057587.bam,5.3411102294921875,42.30750012397766,,Singletons,iclip,Completed,50200307,35217677,485115,485115,0
UMICollapse_0,SRR2057593.bam,7.9288482666015625,32.70570421218872,,Singletons,iclip,Completed,26262514,15752539,1449316,1449316,0
UMICollapse_0,SRR2057592.bam,11.665496826171875,43.11826491355896,,Singletons,iclip,Completed,29407116,18608161,2436519,2436519,0
UMICollapse_0,SRR2057586.bam,3.275726318359375,16.92819905281067,,Singletons,iclip,Completed,19071541,14207706,157404,157404,0
UMICollapse_0,SRR2057579.bam,5.20703125,28.49228286743164,,Singletons,iclip,Completed,29692490,19358021,807830,807830,0
UMICollapse_0,SRR2057569.bam,26.73712158203125,102.5452299118042,,Singletons,iclip,Completed,50779697,38750707,8275763,8275763,0
UMICollapse_0,SRR2057582.bam,13.26605224609375,57.9935998916626,,Singletons,iclip,Completed,39471313,28875433,3479553,3479553,0
UMICollapse_0,SRR2057596.bam,2.2493743896484375,9.532859802246094,,Singletons,iclip,Completed,13421059,4272050,118711,118711,0
UMICollapse_0,SRR2057597.bam,1.045318603515625,2.829975128173828,,Singletons,iclip,Completed,4672700,250648,23537,23537,0
UMICollapse_0,SRR2057583.bam,24.789093017578125,105.88542795181274,,Singletons,iclip,Completed,47622399,32736687,9510357,9510357,0
UMICollapse_0,SRR2057568.bam,4.34259033203125,23.234076976776123,,Singletons,iclip,Completed,24425746,18186531,452318,452318,0
UMICollapse_0,SRR2057595.bam,1.8472900390625,8.563524961471558,,Singletons,iclip,Completed,14786493,2827748,26705,26705,0
UMICollapse_0,SRR2057581.bam,6.1945648193359375,60.796459913253784,,Singletons,iclip,Completed,65530071,47111880,719329,719329,0
UMICollapse_0,SRR2057580.bam,11.306182861328125,66.96613812446594,,Singletons,iclip,Completed,55869362,39806552,2990346,2990346,0
UMICollapse_0,SRR2057594.bam,5.658203125,26.825783729553223,,Singletons,iclip,Completed,22747123,13806190,1064262,1064262,0
RUMINA_8_threads.directional_0_--singletons,SRR2057572.bam,2.059844970703125,34.158942222595215,directional,Singletons,iclip,Completed,51266941,38909086,9259813,9259813,0
RUMINA_8_threads.directional_0_--singletons,SRR2057566.bam,0.5537261962890625,13.662554264068604,directional,Singletons,iclip,Completed,58026048,32112503,704326,704326,0
RUMINA_8_threads.directional_0_--singletons,SRR2057598.bam,0.0628509521484375,2.7468249797821045,directional,Singletons,iclip,Completed,16928257,7628082,29821,29821,0
RUMINA_8_threads.directional_0_--singletons,SRR2057567.bam,0.1441192626953125,5.819996118545532,directional,Singletons,iclip,Completed,29073508,16150468,48403,48403,0
RUMINA_8_threads.directional_0_--singletons,SRR2057573.bam,0.6590728759765625,16.310954093933105,directional,Singletons,iclip,Completed,36547643,29099813,3029168,3029168,0
RUMINA_8_threads.directional_0_--singletons,SRR2057565.bam,0.8420562744140625,17.694053173065186,directional,Singletons,iclip,Completed,54224960,37282481,1736316,1736316,0
RUMINA_8_threads.directional_0_--singletons,SRR2057571.bam,0.592559814453125,18.364281177520752,directional,Singletons,iclip,Completed,53324083,38959442,1730167,1730167,0
RUMINA_8_threads.directional_0_--singletons,SRR2057570.bam,0.1594696044921875,10.551758289337158,directional,Singletons,iclip,Completed,40405667,28847003,248349,248349,0
RUMINA_8_threads.directional_0_--singletons,SRR2057564.bam,1.3212738037109375,17.509106159210205,directional,Singletons,iclip,Completed,34489769,22727389,3960913,3960913,0
