Tool,File,Peakmemoryused,Runtime,GroupingMethod,Singletons,Dataset,Completed?,Inputreads,Ouputreads,Iteration
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,5.373352051,17.72554398,acyclic,Strict,hiv_sub,Completed,24000000,167985,1
UMI-tools,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,0.878036499,103.245928,,Singletons,hiv_sub,Completed,24000000,221234,2
UMICollapse,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,3.868438721,44.3262651,,Singletons,hiv_sub,Completed,24000000,221234,2
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,5.401885986,19.19095397,directional,Strict,hiv_sub,Completed,24000000,167814,2
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,5.378387451,17.81707597,acyclic,Strict,hiv_sub,Completed,24000000,167985,2
UMI-tools,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,0.48374939,32.30585194,,Singletons,hiv_sub,Completed,6000000,207926,0
UMICollapse,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,2.083206177,13.50947094,,Singletons,hiv_sub,Completed,6000000,207926,0
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,1.518417358,7.774322987,directional,Strict,hiv_sub,Completed,6000000,167110,0
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,1.471786499,7.740458965,acyclic,Strict,hiv_sub,Completed,6000000,167143,0
UMI-tools,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,0.482284546,32.53742194,,Singletons,hiv_sub,Completed,6000000,207926,1
UMICollapse,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,2.08454895,13.62604499,,Singletons,hiv_sub,Completed,6000000,207926,1
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,1.504348755,7.723267794,directional,Strict,hiv_sub,Completed,6000000,167110,1
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,1.554321289,7.707370043,acyclic,Strict,hiv_sub,Completed,6000000,167143,1
UMI-tools,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,0.482818604,32.53056598,,Singletons,hiv_sub,Completed,6000000,207926,2
UMICollapse,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,2.067260742,13.54986072,,Singletons,hiv_sub,Completed,6000000,207926,2
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,1.508087158,8.020773888,directional,Strict,hiv_sub,Completed,6000000,167110,2
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs3M_fixOK_sorted.bam,1.523269653,7.699254036,acyclic,Strict,hiv_sub,Completed,6000000,167143,2
UMI-tools,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,0.619430542,55.63917589,,Singletons,hiv_sub,Completed,12000000,213100,0
UMICollapse,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.769989014,23.83349609,,Singletons,hiv_sub,Completed,12000000,213100,0
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.782684326,11.33961916,directional,Strict,hiv_sub,Completed,12000000,167911,0
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.780761719,10.94708204,acyclic,Strict,hiv_sub,Completed,12000000,167971,0
UMI-tools,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,0.619750977,56.32531285,,Singletons,hiv_sub,Completed,12000000,213100,1
UMICollapse,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.827789307,23.91811204,,Singletons,hiv_sub,Completed,12000000,213100,1
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.864318848,11.3448832,directional,Strict,hiv_sub,Completed,12000000,167911,1
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.811203003,10.92655087,acyclic,Strict,hiv_sub,Completed,12000000,167971,1
UMI-tools,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,0.619049072,56.44197607,,Singletons,hiv_sub,Completed,12000000,213100,2
UMICollapse,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.711547852,24.07308221,,Singletons,hiv_sub,Completed,12000000,213100,2
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.848342896,11.38966084,directional,Strict,hiv_sub,Completed,12000000,167911,2
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs6M_fixOK_sorted.bam,2.842926025,10.9317162,acyclic,Strict,hiv_sub,Completed,12000000,167971,2
