Track	fold	level	hits	totals
SRR2057583_rumina.bam	1	1	325640	1976094
SRR2057583_rumina.bam	1	2	113331	153551
SRR2057583_rumina.bam	2	1	111865	1976094
SRR2057583_rumina.bam	2	2	71222	153551
SRR2057584_rumina.bam	1	1	352188	2358243
SRR2057584_rumina.bam	1	2	136736	208202
SRR2057584_rumina.bam	2	1	111865	2358243
SRR2057584_rumina.bam	2	2	77455	208202
SRR2057585_rumina.bam	1	1	280869	1620468
SRR2057585_rumina.bam	1	2	87751	111279
SRR2057585_rumina.bam	2	1	111865	1620468
SRR2057585_rumina.bam	2	2	63953	111279
