Track	fold	level	hits	totals
SRR2057574_rumina.bam	1	1	270774	1850387
SRR2057574_rumina.bam	1	2	89105	115383
SRR2057574_rumina.bam	2	1	98489	1850387
SRR2057574_rumina.bam	2	2	60958	115383
SRR2057575_rumina.bam	1	1	321302	3053445
SRR2057575_rumina.bam	1	2	127706	206177
SRR2057575_rumina.bam	2	1	98489	3053445
SRR2057575_rumina.bam	2	2	72106	206177
SRR2057573_rumina.bam	1	1	256317	1656424
SRR2057573_rumina.bam	1	2	83855	107843
SRR2057573_rumina.bam	2	1	98489	1656424
SRR2057573_rumina.bam	2	2	58609	107843
