Track	fold	level	hits	totals
SRR2057594_rumina.bam	1	1	70213	372438
SRR2057594_rumina.bam	1	2	38191	41425
SRR2057594_rumina.bam	2	1	43224	372438
SRR2057594_rumina.bam	2	2	32393	41425
SRR2057592_rumina.bam	1	1	82094	798808
SRR2057592_rumina.bam	1	2	49565	62310
SRR2057592_rumina.bam	2	1	43224	798808
SRR2057592_rumina.bam	2	2	36725	62310
SRR2057593_rumina.bam	1	1	75115	560453
SRR2057593_rumina.bam	1	2	41592	47294
SRR2057593_rumina.bam	2	1	43224	560453
SRR2057593_rumina.bam	2	2	33837	47294
