Track	fold	level	hits	totals
SRR2057583_rumina.bam	1	1	332342	1995690
SRR2057583_rumina.bam	1	2	117976	158736
SRR2057583_rumina.bam	2	1	115934	1995690
SRR2057583_rumina.bam	2	2	74952	158736
SRR2057584_rumina.bam	1	1	357410	2366070
SRR2057584_rumina.bam	1	2	138305	208576
SRR2057584_rumina.bam	2	1	115934	2366070
SRR2057584_rumina.bam	2	2	80084	208576
SRR2057585_rumina.bam	1	1	288082	1643975
SRR2057585_rumina.bam	1	2	92685	116821
SRR2057585_rumina.bam	2	1	115934	1643975
SRR2057585_rumina.bam	2	2	67901	116821
