Track	fold	level	hits	totals
SRR2057564_rumina.bam	1	1	219265	2752151
SRR2057564_rumina.bam	1	2	114421	259159
SRR2057564_rumina.bam	2	1	51822	2752151
SRR2057564_rumina.bam	2	2	45320	259159
SRR2057565_rumina.bam	1	1	194067	1133133
SRR2057565_rumina.bam	1	2	77753	151724
SRR2057565_rumina.bam	2	1	51822	1133133
SRR2057565_rumina.bam	2	2	38250	151724
SRR2057566_rumina.bam	1	1	97176	417262
SRR2057566_rumina.bam	1	2	38556	74425
SRR2057566_rumina.bam	2	1	51822	417262
SRR2057566_rumina.bam	2	2	30065	74425
