Track	fold	level	hits	totals
SRR2057564_rumina.bam	1	1	219265	2752151
SRR2057564_rumina.bam	1	2	112626	230611
SRR2057564_rumina.bam	2	1	51822	2752151
SRR2057564_rumina.bam	2	2	45194	230611
SRR2057565_rumina.bam	1	1	194067	1133133
SRR2057565_rumina.bam	1	2	70116	91020
SRR2057565_rumina.bam	2	1	51822	1133133
SRR2057565_rumina.bam	2	2	37358	91020
SRR2057566_rumina.bam	1	1	97176	417262
SRR2057566_rumina.bam	1	2	32273	37154
SRR2057566_rumina.bam	2	1	51822	417262
SRR2057566_rumina.bam	2	2	27764	37154
