Track	fold	level	hits	totals
SRR2057564_rumina.bam	1	1	219265	2752151
SRR2057564_rumina.bam	1	2	112639	230658
SRR2057564_rumina.bam	2	1	51822	2752151
SRR2057564_rumina.bam	2	2	45199	230658
SRR2057565_rumina.bam	1	1	194067	1133133
SRR2057565_rumina.bam	1	2	70137	91110
SRR2057565_rumina.bam	2	1	51822	1133133
SRR2057565_rumina.bam	2	2	37368	91110
SRR2057566_rumina.bam	1	1	97176	417262
SRR2057566_rumina.bam	1	2	32282	37234
SRR2057566_rumina.bam	2	1	51822	417262
SRR2057566_rumina.bam	2	2	27768	37234
